rate,title,url,cover,id,is_new,cover_x,cover_y,playable,episodes_info
9.1,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,1295038,False,4500,6647,True,
9.2,龙猫,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,1291560,False,1600,2358,True,
9.1,何以为家,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,30170448,False,1500,2210,True,
8.7,头号玩家,https://movie.douban.com/subject/4920389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,4920389,False,2000,3000,True,
8.3,红海行动,https://movie.douban.com/subject/26861685/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,26861685,False,1429,2000,True,
9.0,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,1299398,False,1280,1830,True,
9.0,飞屋环游记,https://movie.douban.com/subject/2129039/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,2129039,False,2025,3000,True,
8.5,复仇者联盟4：终局之战,https://movie.douban.com/subject/26100958/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,26100958,False,3000,4440,True,
9.3,无间道,https://movie.douban.com/subject/1307914/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,1307914,False,1000,1518,True,
9.3,放牛班的春天,https://movie.douban.com/subject/1291549/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,1291549,False,491,655,True,
8.7,功夫,https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,1291543,False,2143,2993,True,
8.7,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,1306249,False,730,1024,True,
8.8,看不见的客人,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,26580232,False,5906,8425,True,
